PKNAME,PEAKID,PKNAME2,PKNAME_COSO,LOCATION,osm.x,osm.y,osm,wiki,s,Lat,Lon
Gorakh Himal,GORH,NA,,Gorakh Himal (NE of Simikot on Tibetan border),1,0,0,0,1,,
Gorakh Khang,GORK,NA,,Gorakh Khang (ENE of Simikot on Tibetan border),0,0,0,0,0,,
Guras,GURA,Gurans,,Guras Himal (NE of Nampa on Tibetan border),0,0,0,0,0,,
Gurja Himal,GURJ,NA,,Dhaulagiri Himal (S of Dhaulagiri VI),1,0,0,1,2,,
Gurkarpo Ri,GURK,NA,,Jugal Himal (N of Dorje Lhakpa on Tibetan border),1,0,0,1,2,,
Gyachung Kang,GYAC,NA,,Khumbu Himal (E of Cho Oyu on Tibetan border),0,1,1,1,3,,
Gyajikang,GYAJ,Gyaji Khang,,Peri Himal (SW of Himlung Himal),0,0,0,0,0,,
Gyala,GYLA,NA,,Manaslu Himal (NNE of Larkya La on Tibetan border),0,0,0,0,0,,
Gyalzen Peak,GYLZ,Gyaltsen Peak,,Jugal Himal (SE of Leonpo Gang on Tibetan border),0,0,0,0,0,,
Herzog Peak,HERZ,Khangsar Khang West,,Annapurna Himal (WSW of Roc Noir),0,0,0,0,0,,
Himalchuli East,HIME,Himalchuli Main,,Mansiri Himal (SE of Manaslu),0,0,0,0,0,,
Himalchuli North,HIMN,NA,,"Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",0,0,0,0,0,,
Himalchuli West,HIMW,NA,,"Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",0,0,0,0,0,,
Himjung,HIMJ,Nemjung Goth,,Peri Himal (S of Himlung Himal),0,0,0,0,0,,
Himlung East,HMLE,NA,,Peri Himal (E of Himlung Himal on Tibetan border),0,0,0,0,0,,
Himlung Himal,HIML,NA,,Peri Himal (NW of Manaslu near Tibetan border),0,0,0,1,1,,
Hiunchuli,HIUP,Patal Hiunchuli,,Annapurna Himal (E of Annapurna South),1,0,0,1,2,,
Hiunchuli,HIUP,Patal Hiunchuli,,Annapurna Himal (E of Annapurna South),1,0,0,1,2,,
Hongde,HONG,"Hangde, Hongde Himal",,Mukut Himal (N of Sita Chuchura in Hidden Valley),1,0,0,0,1,,
Hongku,HONK,"Hongku Chuli Nup, Honku, Sura Peak",,"Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",0,0,0,0,0,,
Hongku Chuli,HNKU,"Hunku Chuli, Pyramid Peak",,"Khumbu Himal (in Hongku Valley, NE of Chamlang)",0,0,0,0,0,,
Hulang Go,HUGO,NA,,Peri Himal (WNW of Ratna Chuli on Tibetan border),0,0,0,0,0,,
Hungchhi,HCHI,"Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse",,Khumbu Himal (S of Gyachung Kang on Tibetan border),0,0,0,0,0,,
Hunku,HUNK,NA,,Khumbu Himal (NNE of Peak 41),0,0,0,0,0,,
Imjatse,IMJA,Island Peak,,Khumbu Himal (S of Lhotse),0,0,0,0,0,,
Jabou Ri,JABR,NA,,Rolwaling Himal (S of Tarkago),0,0,0,0,0,,
Jagdula,JAGD,NA,,Jagdula Lekh (S of Kande Hiunchuli),0,0,0,0,0,,
Janak Chuli,JANK,"Janak, Outlier",,Janak Himal (WNW of Jongsang on Tibetan border),1,0,0,0,1,,
Jannu,JANU,Khumbhakarna,,Kangchenjunga Himal (W of Kangchenjunga),0,0,0,1,1,,
Jannu East,JANE,Khumbhakarna East,,Kangchenjunga Himal (W of Kangchenjunga),0,0,0,0,0,,
Jarkya,JARK,NA,,Manaslu Himal (N of Larkya La on Tibetan border),0,0,0,0,0,,
Jasemba Goth,JASG,Dzasampa Kang,,Khumbu Himal (NW of Pasang Lhamu Chuli),0,0,0,0,0,,
Jethi Bahurani,JETH,"Jettiborani, Jutibofurani",,Api Himal (S of Nampa and Bobaye),1,0,0,1,2,,
Jinjang,JING,"Genjang, Gajang, Jijang",,Damodar Himal (E of Thorong La),1,0,0,0,1,,
Jobo Rinjang,JOBO,Jobo Ribjang,,Rolwaling Himal (SW of Nangpa La near Tibetan border),1,0,0,1,2,,
Jomsom Himal,JOMS,Jomsang Himal,,Damodar Himal (WNW of Amotsang Himal),0,0,0,0,0,,
Jongsang,JONG,"Jonsong, Jhinsang",,Jongsang Himal (on Indian-Tibetan border),0,0,0,0,0,,
Jugal 1,JUG1,NA,Dorje Lhakpa,Jugal Himal (E of Dorje Lakpa),0,0,0,0,0,,
Jugal 2,JUG2,NA,Dorje Lhakpa,Jugal Himal (ENE of Dorje Lakpa),0,0,0,0,0,,
Jugal 3,JUG3,NA,Dorje Lhakpa,Jugal Himal (SE of Dorje Lakpa),0,0,0,0,0,,
