"PKNAME","PEAKID","PKNAME2","PKCONSO","LOCATION","HEIGHTM","ALL","osm.x","osm.y","osm","wiki","LAT","LONG"
"Gurja Himal","GURJ","NA","Gurja Himal","Dhaulagiri Himal (S of Dhaulagiri VI)",7193,2,1,0,0,1,,
"Gurkarpo Ri","GURK","NA","Gurkarpo Ri","Jugal Himal (N of Dorje Lhakpa on Tibetan border)",6889,2,1,0,0,1,,
"Gyachung Kang","GYAC","NA","Gyachung Kang","Khumbu Himal (E of Cho Oyu on Tibetan border)",7861,3,0,1,1,1,,
"Gyajikang","GYAJ","Gyaji Khang","Gyaji Kang","Peri Himal (SW of Himlung Himal)",7074,0,0,0,0,0,,
"Herzog Peak","HERZ","Khangsar Khang West","Khangsar Khang West","Annapurna Himal (WSW of Roc Noir)",7555,0,0,0,0,0,"28,60916667","83,86027778"
"Himalchuli East","HIME","Himalchuli Main","Himalchuli East","Mansiri Himal (SE of Manaslu)",7893,0,0,0,0,0,"28,43694444","84,64138889"
"Himalchuli North","HIMN","NA","Himalchuli North","Mansiri Himal (SE of Manaslu, WNW of Himalchuli Main)",7331,0,0,0,0,0,"28,44916667","84,60638889"
"Himalchuli West","HIMW","NA","Himalchuli West","Mansiri Himal (SE of Manaslu, W of Himalchuli Main)",7540,0,0,0,0,0,"28,43555556","80,61888889"
"Himjung","HIMJ","Nemjung Goth","Himlung Himal","Peri Himal (S of Himlung Himal)",7092,0,0,0,0,0,,
"Himlung East","HMLE","NA","Himlung East","Peri Himal (E of Himlung Himal on Tibetan border)",6932,0,0,0,0,0,"28,76916667","84,43888889"
"Himlung Himal","HIML","NA","Himlung Himal","Peri Himal (NW of Manaslu near Tibetan border)",7126,1,0,0,0,1,,
"Hongku","HONK","Hongku Chuli Nup, Honku, Sura Peak","Hongu","Khumbu Himal (in Hongku Valley, W of Hongku Chuli)",6764,0,0,0,0,0,"27,82555556","86,97944444"
"Hongku Chuli","HNKU","Hunku Chuli, Pyramid Peak","Hunku Chuli","Khumbu Himal (in Hongku Valley, NE of Chamlang)",6833,0,0,0,0,0,"27,8175","87,01194444"
"Hungchhi","HCHI","Hunchhi, Chakung, Gyubanare Kang, Gyuba Tshomotse","Gyachung Khang","Khumbu Himal (S of Gyachung Kang on Tibetan border)",7029,0,0,0,0,0,"28,09444444","86,75083333"
"Janak Chuli","JANK","Janak, Outlier","Janak Chuli","Janak Himal (WNW of Jongsang on Tibetan border)",7041,1,1,0,0,0,,
"Jannu","JANU","Khumbhakarna","Jannu","Kangchenjunga Himal (W of Kangchenjunga)",7711,1,0,0,0,1,,
"Jannu East","JANE","Khumbhakarna East","Jannu","Kangchenjunga Himal (W of Kangchenjunga)",7460,0,0,0,0,0,,
"Jasemba Goth","JASG","Dzasampa Kang","Jasemba Goth","Khumbu Himal (NW of Pasang Lhamu Chuli)",6730,0,0,0,0,0,"28,07333333","86,61694444"
"Jethi Bahurani","JETH","Jettiborani, Jutibofurani","Jethi Bahurani","Api Himal (S of Nampa and Bobaye)",6850,2,1,0,0,1,,
"Jobo Rinjang","JOBO","Jobo Ribjang","Jobo Rinjang","Rolwaling Himal (SW of Nangpa La near Tibetan border)",6778,2,1,0,0,1,,
"Jongsang","JONG","Jonsong, Jhinsang","Jongsong Peak","Jongsang Himal (on Indian-Tibetan border)",7462,0,0,0,0,0,,
"Junction Peak","JUNC","NA","Junction Peak","Dhaulagiri Himal (on ridge joining Dhaulagiri VI, IV and Churen)",7133,1,1,0,0,0,,
"Kabru Main","KABR","Kabru Central","Kabru Central","Simhalila Himal (S of Talung on Indian border)",7412,0,0,0,0,0,"27,63527778","27,63527778"
"Kabru North","KABN","NA","Kabrut North","Simhalila Himal (S of Kabru Main on Indian border)",7338,0,0,0,0,0,"27,60805556","88,11361111"
"Kabru South","KABS","Kabru IV","Kabru","Simhalila Himal (S of Kabru North on Indian border)",7318,0,0,0,0,0,"27,642","88,1228"
"Kali Himal","KALI","Chota Ri, Baruntse North","Kali Himal","Khumbu Himal (NW of Baruntse)",6985,1,1,0,0,0,,
"Kang Guru","KGUR","Naurgaon","Kang Guru","Peri Himal (SW of Himlung Himal)",6981,1,0,0,0,1,,
"Kang Nagchugo","KNAG","Khang Nagchugo","Kang Nagchugo","Rolwaling Himal (E of Chekigo on Tibetan border)",6737,0,0,0,0,0,"27,90611111","86,44472222"
"Kangbachen","KANB","Kambachen","Kangbachen","Kangchenjunga Himal (W Spur of Kangchenjunga)",7902,2,1,0,0,1,,
"Kangbachen East","KBNE","Kambachen East","Kangbachen East","Kangchenjunga Himal (plateau SE of Kangbachen?)",7780,0,0,0,0,0,"27,7175","88,15805556"
"Kangchenjunga","KANG","NA","Kangchenjunga","Kangchenjunga Himal",8586,2,1,0,1,0,,
"Kangchenjunga Central","KANC","NA","Kangchenjunga Central","Kangchenjunga Himal (between Main and South summits)",8473,2,1,0,0,1,,
"Kangchenjunga North","KANN","NA","Kangchenjunga North","Kangchenjunga Himal (small knob north of Main summit)",7938,0,0,0,0,0,"27,71083333","88,15444444"
"Kangchenjunga South","KANS","NA","Kangchenjunga South","Kangchenjunga Himal",8476,2,1,0,0,1,,
"Kangtega","KTEG","Kantega, Khangtega, Kang Taiga","Kangtega","Khumbu Himal (SW of Ama Dablam)",6783,2,1,0,0,1,,
"Kanjiroba North","KJRN","NA","Kanjiroba","Kanjiroba Himal",6858,0,0,0,0,0,"29,37555556","82,64055556"
"Kanjiroba South","KJRS","Kanjiroba Main","Kanjiroba","Kanjiroba Himal",6883,0,0,0,0,0,"29,37555556","82,64055556"
"Kanti Himal","KANT","Ronglai Kangri, Kaqur Kangri, Kubi Grangri","Kanti Himal","Kanti Himal (NNW of Kanjiroba on Tibetan border)",6850,0,0,0,0,0,,
"Khamjung","KHAM","Khumjung, Khamjungar","Khamjung","Damodar Himal (W of Saribung and Bhrikuti)",6759,0,0,0,0,0,"28,91888889","84,14750000"
"Khangri Shar","KGRI","NA","Khangri Shar","Khumbu Himal (W of Pumori)",6792,1,0,0,0,1,,
"Khatang","KHAT","NA","Khatang","Rolwaling Himal (E of Numbur)",6790,2,1,0,0,1,,
"Kimshung","KIMS","Kinshung, Tsangbu Ri","Kimshung","Langtang Himal (NE of Langtang Lirung)",6781,2,1,0,0,1,,
"Kirat Chuli","KIRA","Tent Peak","Kirat Chuli","Jongsang Himal (N of Kangchenjunga on Indian border)",7362,2,1,0,0,1,,
"Kyashar","KYAS","Peak 43, Tangnag Tseng","Kyashar","Khumbu Himal (S of Kantega)",6770,2,1,0,0,1,,
"Lachama Chuli","LCHA","Kubi Kangri, Kubi Dongdong","Lachama Chuli","Changla Himal (N of Gorakh Himal on Tibetan border)",6721,0,0,0,0,0,"30,13638889","82,20055556"
"Lamjung Himal","LAMJ","NA","Lamjung Himal","Annapurna Himal (SE of Annapurna II)",6983,2,1,0,0,1,,
"Langchung Khang","LNGK","Langpo Chung","Langchung Khang","Jongsang Himal (NW of Langpo on Indian border)",6786,1,1,0,0,0,,
"Langpo","LNPO","Longpo","Langpo","Jongsang Himal (SE of Jongsang on Indian border)",6965,0,0,0,0,0,"27,85333333","88,19888889"
"Langpo South","LNPS","NA","Langpo South","Jongsang Himal (SE of Langpo on Indian border)",6857,1,1,0,0,0,,
"Langtang Lirung","LANG","Langtang","Langtang Lirung","Langtang Himal",7227,2,0,0,1,1,,
"Langtang Ri","LANR","NA","Langtang Ri","Langtang Himal (NE of Langtang Lirung on Tibetan border)",7205,2,1,0,0,1,,
"Lashar I","LASH","Loshar I","Lashar I","Janak Himal (NW of Lashar II on Tibetan border)",6842,1,1,0,0,0,,
